name,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,trades,win_rate,exposure,turnover,average_trade_return,average_win,average_loss,profit_factor,cost_drag,excess_cagr_vs_benchmark,drawdown_improvement_vs_benchmark,ticker,label,variant,short_window,long_window,spread_threshold,momentum_window,partial_exposure,entry_threshold,exit_threshold,min_hold_days,cooldown_days,cost_bps,benchmark_total_return,benchmark_cagr,benchmark_sharpe,benchmark_max_drawdown,upside_capture,downside_capture,missed_return_while_in_cash,average_holding_days,median_holding_days,trade_frequency_per_year,fallback_exposure,cagr_20bps,sharpe_20bps,selection_score,robust_20bps,passes_selection
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_5_10bps,0.7581774119218949,0.1110610951068054,0.1843455647133324,0.6644195303918475,0.7747049587885251,0.4701235094874926,-0.23623812224978746,9,0.75,0.6172106824925816,1.682492581602374,0.0807326206058023,0.12854232174510316,-0.06269648281210027,6.15069534906804,0.01583083501546656,-0.06531145839492747,0.09736707728166327,AAPL,allocation_test,long_cash_hysteresis,5,200,0.0,,False,0.01,-0.01,10,5,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5446467854281669,0.5356746003589834,0.40959568688410086,166.4,191.0,1.67973939703628,0.0,0.10920200797348611,0.655378098645783,0.7568644608753896,True,True
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_5_10bps,0.7581774119218949,0.1110610951068054,0.1843455647133324,0.6644195303918475,0.7747049587885251,0.4701235094874926,-0.23623812224978746,9,0.75,0.6172106824925816,1.682492581602374,0.0807326206058023,0.12854232174510316,-0.06269648281210027,6.15069534906804,0.01583083501546656,-0.06531145839492747,0.09736707728166327,AAPL,allocation_test,long_cash_hysteresis,5,200,0.0,,False,0.01,-0.01,20,5,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5446467854281669,0.5356746003589834,0.40959568688410086,166.4,191.0,1.67973939703628,0.0,0.10920200797348611,0.655378098645783,0.7568644608753896,True,True
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_0_10bps,0.7581774119218949,0.1110610951068054,0.1843455647133324,0.6644195303918475,0.7747049587885251,0.4701235094874926,-0.23623812224978746,9,0.75,0.6172106824925816,1.682492581602374,0.0807326206058023,0.12854232174510316,-0.06269648281210027,6.15069534906804,0.01583083501546656,-0.06531145839492747,0.09736707728166327,AAPL,allocation_test,long_cash_hysteresis,5,200,0.0,,False,0.01,-0.01,20,0,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5446467854281669,0.5356746003589834,0.40959568688410086,166.4,191.0,1.67973939703628,0.0,0.10920200797348611,0.655378098645783,0.7568644608753896,True,True
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_0_10bps,0.7581774119218949,0.1110610951068054,0.1843455647133324,0.6644195303918475,0.7747049587885251,0.4701235094874926,-0.23623812224978746,9,0.75,0.6172106824925816,1.682492581602374,0.0807326206058023,0.12854232174510316,-0.06269648281210027,6.15069534906804,0.01583083501546656,-0.06531145839492747,0.09736707728166327,AAPL,allocation_test,long_cash_hysteresis,5,200,0.0,,False,0.01,-0.01,10,0,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5446467854281669,0.5356746003589834,0.40959568688410086,166.4,191.0,1.67973939703628,0.0,0.10920200797348611,0.655378098645783,0.7568644608753896,True,True
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_10_10bps,0.7581774119218949,0.1110610951068054,0.1843455647133324,0.6644195303918475,0.7747049587885251,0.4701235094874926,-0.23623812224978746,9,0.75,0.6172106824925816,1.682492581602374,0.0807326206058023,0.12854232174510316,-0.06269648281210027,6.15069534906804,0.01583083501546656,-0.06531145839492747,0.09736707728166327,AAPL,allocation_test,long_cash_hysteresis,5,200,0.0,,False,0.01,-0.01,10,10,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5446467854281669,0.5356746003589834,0.40959568688410086,166.4,191.0,1.67973939703628,0.0,0.10920200797348611,0.655378098645783,0.7568644608753896,True,True
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_10_10bps,0.7581774119218949,0.1110610951068054,0.1843455647133324,0.6644195303918475,0.7747049587885251,0.4701235094874926,-0.23623812224978746,9,0.75,0.6172106824925816,1.682492581602374,0.0807326206058023,0.12854232174510316,-0.06269648281210027,6.15069534906804,0.01583083501546656,-0.06531145839492747,0.09736707728166327,AAPL,allocation_test,long_cash_hysteresis,5,200,0.0,,False,0.01,-0.01,20,10,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5446467854281669,0.5356746003589834,0.40959568688410086,166.4,191.0,1.67973939703628,0.0,0.10920200797348611,0.655378098645783,0.7568644608753896,True,True
AAPL_long_cash_hysteresis_trend_5_200_entry_0.010_exit_-0.010_hold_0_cool_10_10bps,0.7581774119218949,0.1110610951068054,0.1843455647133324,0.6644195303918475,0.7747049587885251,0.4701235094874926,-0.23623812224978746,9,0.75,0.6172106824925816,1.682492581602374,0.0807326206058023,0.12854232174510316,-0.06269648281210027,6.15069534906804,0.01583083501546656,-0.06531145839492747,0.09736707728166327,AAPL,allocation_test,long_cash_hysteresis,5,200,0.0,,False,0.01,-0.01,0,10,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5446467854281669,0.5356746003589834,0.40959568688410086,166.4,191.0,1.67973939703628,0.0,0.10920200797348611,0.655378098645783,0.7568644608753896,True,True
AAPL_hybrid_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_5_10bps,0.8543477716924073,0.12215949657084013,0.20065047031680605,0.6753829950122926,0.8269414453126597,0.43566887568875357,-0.28039528042419115,13,0.6666666666666666,0.6951038575667656,2.8041543026706233,0.10263011846962622,0.18529341911048947,-0.06269648281210027,5.910807458396319,0.027829064876712106,-0.054213056930892733,0.053209919107259585,AAPL,allocation_test,hybrid_qqq_regime,5,200,0.0,,False,0.01,-0.01,10,5,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5919640252444981,0.5805804618814945,0.3991523490291218,166.8,192.0,2.4262902401635156,0.0771513353115727,0.1190401418804603,0.6616515524631282,0.7119812790299376,True,True
AAPL_hybrid_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_5_10bps,0.8543477716924073,0.12215949657084013,0.20065047031680605,0.6753829950122926,0.8269414453126597,0.43566887568875357,-0.28039528042419115,13,0.6666666666666666,0.6951038575667656,2.8041543026706233,0.10263011846962622,0.18529341911048947,-0.06269648281210027,5.910807458396319,0.027829064876712106,-0.054213056930892733,0.053209919107259585,AAPL,allocation_test,hybrid_qqq_regime,5,200,0.0,,False,0.01,-0.01,20,5,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5919640252444981,0.5805804618814945,0.3991523490291218,166.8,192.0,2.4262902401635156,0.0771513353115727,0.1190401418804603,0.6616515524631282,0.7119812790299376,True,True
AAPL_hybrid_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_0_10bps,0.8543477716924073,0.12215949657084013,0.20065047031680605,0.6753829950122926,0.8269414453126597,0.43566887568875357,-0.28039528042419115,13,0.6666666666666666,0.6951038575667656,2.8041543026706233,0.10263011846962622,0.18529341911048947,-0.06269648281210027,5.910807458396319,0.027829064876712106,-0.054213056930892733,0.053209919107259585,AAPL,allocation_test,hybrid_qqq_regime,5,200,0.0,,False,0.01,-0.01,20,0,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5919640252444981,0.5805804618814945,0.3991523490291218,166.8,192.0,2.4262902401635156,0.0771513353115727,0.1190401418804603,0.6616515524631282,0.7119812790299376,True,True
AAPL_hybrid_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_0_10bps,0.8543477716924073,0.12215949657084013,0.20065047031680605,0.6753829950122926,0.8269414453126597,0.43566887568875357,-0.28039528042419115,13,0.6666666666666666,0.6951038575667656,2.8041543026706233,0.10263011846962622,0.18529341911048947,-0.06269648281210027,5.910807458396319,0.027829064876712106,-0.054213056930892733,0.053209919107259585,AAPL,allocation_test,hybrid_qqq_regime,5,200,0.0,,False,0.01,-0.01,10,0,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5919640252444981,0.5805804618814945,0.3991523490291218,166.8,192.0,2.4262902401635156,0.0771513353115727,0.1190401418804603,0.6616515524631282,0.7119812790299376,True,True
AAPL_hybrid_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_10_10bps,0.8543477716924073,0.12215949657084013,0.20065047031680605,0.6753829950122926,0.8269414453126597,0.43566887568875357,-0.28039528042419115,13,0.6666666666666666,0.6951038575667656,2.8041543026706233,0.10263011846962622,0.18529341911048947,-0.06269648281210027,5.910807458396319,0.027829064876712106,-0.054213056930892733,0.053209919107259585,AAPL,allocation_test,hybrid_qqq_regime,5,200,0.0,,False,0.01,-0.01,10,10,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5919640252444981,0.5805804618814945,0.3991523490291218,166.8,192.0,2.4262902401635156,0.0771513353115727,0.1190401418804603,0.6616515524631282,0.7119812790299376,True,True
AAPL_hybrid_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_10_10bps,0.8543477716924073,0.12215949657084013,0.20065047031680605,0.6753829950122926,0.8269414453126597,0.43566887568875357,-0.28039528042419115,13,0.6666666666666666,0.6951038575667656,2.8041543026706233,0.10263011846962622,0.18529341911048947,-0.06269648281210027,5.910807458396319,0.027829064876712106,-0.054213056930892733,0.053209919107259585,AAPL,allocation_test,hybrid_qqq_regime,5,200,0.0,,False,0.01,-0.01,20,10,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5919640252444981,0.5805804618814945,0.3991523490291218,166.8,192.0,2.4262902401635156,0.0771513353115727,0.1190401418804603,0.6616515524631282,0.7119812790299376,True,True
AAPL_hybrid_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_0_cool_10_10bps,0.8543477716924073,0.12215949657084013,0.20065047031680605,0.6753829950122926,0.8269414453126597,0.43566887568875357,-0.28039528042419115,13,0.6666666666666666,0.6951038575667656,2.8041543026706233,0.10263011846962622,0.18529341911048947,-0.06269648281210027,5.910807458396319,0.027829064876712106,-0.054213056930892733,0.053209919107259585,AAPL,allocation_test,hybrid_qqq_regime,5,200,0.0,,False,0.01,-0.01,0,10,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5919640252444981,0.5805804618814945,0.3991523490291218,166.8,192.0,2.4262902401635156,0.0771513353115727,0.1190401418804603,0.6616515524631282,0.7119812790299376,True,True
AAPL_long_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_5_10bps,0.8486579012385114,0.12151605697037215,0.2006564496216938,0.6725042855412147,0.823484352433001,0.4333741166632293,-0.2803952804241908,11,0.6666666666666666,0.6951038575667656,2.8041543026706233,0.10091910304214047,0.18272689596926084,-0.06269648281210027,5.828936098916062,0.027763953509654327,-0.05485649653136071,0.05320991910725992,AAPL,allocation_test,long_qqq_regime,5,200,0.0,,False,0.01,-0.01,10,5,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5917320301755418,0.5807079907740162,0.40959568688410086,166.4,191.0,2.0530148185998978,0.07789317507418397,0.11839539864039117,0.6587273449072626,0.7084591299583919,True,True
AAPL_long_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_5_10bps,0.8486579012385114,0.12151605697037215,0.2006564496216938,0.6725042855412147,0.823484352433001,0.4333741166632293,-0.2803952804241908,11,0.6666666666666666,0.6951038575667656,2.8041543026706233,0.10091910304214047,0.18272689596926084,-0.06269648281210027,5.828936098916062,0.027763953509654327,-0.05485649653136071,0.05320991910725992,AAPL,allocation_test,long_qqq_regime,5,200,0.0,,False,0.01,-0.01,20,5,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5917320301755418,0.5807079907740162,0.40959568688410086,166.4,191.0,2.0530148185998978,0.07789317507418397,0.11839539864039117,0.6587273449072626,0.7084591299583919,True,True
AAPL_long_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_0_10bps,0.8486579012385114,0.12151605697037215,0.2006564496216938,0.6725042855412147,0.823484352433001,0.4333741166632293,-0.2803952804241908,11,0.6666666666666666,0.6951038575667656,2.8041543026706233,0.10091910304214047,0.18272689596926084,-0.06269648281210027,5.828936098916062,0.027763953509654327,-0.05485649653136071,0.05320991910725992,AAPL,allocation_test,long_qqq_regime,5,200,0.0,,False,0.01,-0.01,20,0,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5917320301755418,0.5807079907740162,0.40959568688410086,166.4,191.0,2.0530148185998978,0.07789317507418397,0.11839539864039117,0.6587273449072626,0.7084591299583919,True,True
AAPL_long_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_0_10bps,0.8486579012385114,0.12151605697037215,0.2006564496216938,0.6725042855412147,0.823484352433001,0.4333741166632293,-0.2803952804241908,11,0.6666666666666666,0.6951038575667656,2.8041543026706233,0.10091910304214047,0.18272689596926084,-0.06269648281210027,5.828936098916062,0.027763953509654327,-0.05485649653136071,0.05320991910725992,AAPL,allocation_test,long_qqq_regime,5,200,0.0,,False,0.01,-0.01,10,0,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5917320301755418,0.5807079907740162,0.40959568688410086,166.4,191.0,2.0530148185998978,0.07789317507418397,0.11839539864039117,0.6587273449072626,0.7084591299583919,True,True
AAPL_long_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_10_10bps,0.8486579012385114,0.12151605697037215,0.2006564496216938,0.6725042855412147,0.823484352433001,0.4333741166632293,-0.2803952804241908,11,0.6666666666666666,0.6951038575667656,2.8041543026706233,0.10091910304214047,0.18272689596926084,-0.06269648281210027,5.828936098916062,0.027763953509654327,-0.05485649653136071,0.05320991910725992,AAPL,allocation_test,long_qqq_regime,5,200,0.0,,False,0.01,-0.01,10,10,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5917320301755418,0.5807079907740162,0.40959568688410086,166.4,191.0,2.0530148185998978,0.07789317507418397,0.11839539864039117,0.6587273449072626,0.7084591299583919,True,True
AAPL_long_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_10_10bps,0.8486579012385114,0.12151605697037215,0.2006564496216938,0.6725042855412147,0.823484352433001,0.4333741166632293,-0.2803952804241908,11,0.6666666666666666,0.6951038575667656,2.8041543026706233,0.10091910304214047,0.18272689596926084,-0.06269648281210027,5.828936098916062,0.027763953509654327,-0.05485649653136071,0.05320991910725992,AAPL,allocation_test,long_qqq_regime,5,200,0.0,,False,0.01,-0.01,20,10,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5917320301755418,0.5807079907740162,0.40959568688410086,166.4,191.0,2.0530148185998978,0.07789317507418397,0.11839539864039117,0.6587273449072626,0.7084591299583919,True,True
AAPL_long_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_0_cool_10_10bps,0.8486579012385114,0.12151605697037215,0.2006564496216938,0.6725042855412147,0.823484352433001,0.4333741166632293,-0.2803952804241908,11,0.6666666666666666,0.6951038575667656,2.8041543026706233,0.10091910304214047,0.18272689596926084,-0.06269648281210027,5.828936098916062,0.027763953509654327,-0.05485649653136071,0.05320991910725992,AAPL,allocation_test,long_qqq_regime,5,200,0.0,,False,0.01,-0.01,0,10,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5917320301755418,0.5807079907740162,0.40959568688410086,166.4,191.0,2.0530148185998978,0.07789317507418397,0.11839539864039117,0.6587273449072626,0.7084591299583919,True,True
AAPL_long_spy_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_5_10bps,0.7957762356912084,0.11545756270100616,0.19714678004113625,0.6535378402659557,0.7954622302744062,0.42828764576248274,-0.26957948435672585,12,0.6666666666666666,0.6988130563798219,3.178041543026706,0.10703871491189694,0.19190631377389555,-0.06269648281210027,6.121756920528821,0.030605738279356753,-0.06091499080072671,0.06402571517472488,AAPL,allocation_test,long_spy_regime,5,200,0.0,,False,0.01,-0.01,10,5,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5879286596308275,0.5805447006551508,0.40959568688410086,166.4,191.0,2.2396525293817064,0.08160237388724036,0.11193930572178457,0.6376233968510822,0.6738865988332561,True,True
AAPL_long_spy_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_5_10bps,0.7957762356912084,0.11545756270100616,0.19714678004113625,0.6535378402659557,0.7954622302744062,0.42828764576248274,-0.26957948435672585,12,0.6666666666666666,0.6988130563798219,3.178041543026706,0.10703871491189694,0.19190631377389555,-0.06269648281210027,6.121756920528821,0.030605738279356753,-0.06091499080072671,0.06402571517472488,AAPL,allocation_test,long_spy_regime,5,200,0.0,,False,0.01,-0.01,20,5,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5879286596308275,0.5805447006551508,0.40959568688410086,166.4,191.0,2.2396525293817064,0.08160237388724036,0.11193930572178457,0.6376233968510822,0.6738865988332561,True,True
AAPL_long_spy_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_0_10bps,0.7957762356912084,0.11545756270100616,0.19714678004113625,0.6535378402659557,0.7954622302744062,0.42828764576248274,-0.26957948435672585,12,0.6666666666666666,0.6988130563798219,3.178041543026706,0.10703871491189694,0.19190631377389555,-0.06269648281210027,6.121756920528821,0.030605738279356753,-0.06091499080072671,0.06402571517472488,AAPL,allocation_test,long_spy_regime,5,200,0.0,,False,0.01,-0.01,20,0,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5879286596308275,0.5805447006551508,0.40959568688410086,166.4,191.0,2.2396525293817064,0.08160237388724036,0.11193930572178457,0.6376233968510822,0.6738865988332561,True,True
AAPL_long_spy_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_0_10bps,0.7957762356912084,0.11545756270100616,0.19714678004113625,0.6535378402659557,0.7954622302744062,0.42828764576248274,-0.26957948435672585,12,0.6666666666666666,0.6988130563798219,3.178041543026706,0.10703871491189694,0.19190631377389555,-0.06269648281210027,6.121756920528821,0.030605738279356753,-0.06091499080072671,0.06402571517472488,AAPL,allocation_test,long_spy_regime,5,200,0.0,,False,0.01,-0.01,10,0,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5879286596308275,0.5805447006551508,0.40959568688410086,166.4,191.0,2.2396525293817064,0.08160237388724036,0.11193930572178457,0.6376233968510822,0.6738865988332561,True,True
AAPL_long_spy_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_10_10bps,0.7957762356912084,0.11545756270100616,0.19714678004113625,0.6535378402659557,0.7954622302744062,0.42828764576248274,-0.26957948435672585,12,0.6666666666666666,0.6988130563798219,3.178041543026706,0.10703871491189694,0.19190631377389555,-0.06269648281210027,6.121756920528821,0.030605738279356753,-0.06091499080072671,0.06402571517472488,AAPL,allocation_test,long_spy_regime,5,200,0.0,,False,0.01,-0.01,10,10,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5879286596308275,0.5805447006551508,0.40959568688410086,166.4,191.0,2.2396525293817064,0.08160237388724036,0.11193930572178457,0.6376233968510822,0.6738865988332561,True,True
AAPL_long_spy_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_10_10bps,0.7957762356912084,0.11545756270100616,0.19714678004113625,0.6535378402659557,0.7954622302744062,0.42828764576248274,-0.26957948435672585,12,0.6666666666666666,0.6988130563798219,3.178041543026706,0.10703871491189694,0.19190631377389555,-0.06269648281210027,6.121756920528821,0.030605738279356753,-0.06091499080072671,0.06402571517472488,AAPL,allocation_test,long_spy_regime,5,200,0.0,,False,0.01,-0.01,20,10,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5879286596308275,0.5805447006551508,0.40959568688410086,166.4,191.0,2.2396525293817064,0.08160237388724036,0.11193930572178457,0.6376233968510822,0.6738865988332561,True,True
AAPL_long_spy_regime_trend_5_200_entry_0.010_exit_-0.010_hold_0_cool_10_10bps,0.7957762356912084,0.11545756270100616,0.19714678004113625,0.6535378402659557,0.7954622302744062,0.42828764576248274,-0.26957948435672585,12,0.6666666666666666,0.6988130563798219,3.178041543026706,0.10703871491189694,0.19190631377389555,-0.06269648281210027,6.121756920528821,0.030605738279356753,-0.06091499080072671,0.06402571517472488,AAPL,allocation_test,long_spy_regime,5,200,0.0,,False,0.01,-0.01,0,10,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5879286596308275,0.5805447006551508,0.40959568688410086,166.4,191.0,2.2396525293817064,0.08160237388724036,0.11193930572178457,0.6376233968510822,0.6738865988332561,True,True
AAPL_hybrid_spy_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_5_10bps,0.7890412210488722,0.11467557093391045,0.1972320207214046,0.649777439294615,0.7912936903071365,0.42538686208837817,-0.2695794843567254,15,0.6666666666666666,0.6988130563798219,3.178041543026706,0.1053320644008831,0.18934633800737477,-0.06269648281210027,6.040094420442717,0.03052457851292223,-0.06169698256782241,0.06402571517472533,AAPL,allocation_test,hybrid_spy_regime,5,200,0.0,,False,0.01,-0.01,10,5,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5881798476654998,0.5812982353536277,0.40811679497166364,167.0,192.0,2.7995656617271334,0.08048961424332345,0.11115716789363406,0.6338298498678674,0.6693442060948198,True,True
AAPL_hybrid_spy_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_5_10bps,0.7890412210488722,0.11467557093391045,0.1972320207214046,0.649777439294615,0.7912936903071365,0.42538686208837817,-0.2695794843567254,15,0.6666666666666666,0.6988130563798219,3.178041543026706,0.1053320644008831,0.18934633800737477,-0.06269648281210027,6.040094420442717,0.03052457851292223,-0.06169698256782241,0.06402571517472533,AAPL,allocation_test,hybrid_spy_regime,5,200,0.0,,False,0.01,-0.01,20,5,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5881798476654998,0.5812982353536277,0.40811679497166364,167.0,192.0,2.7995656617271334,0.08048961424332345,0.11115716789363406,0.6338298498678674,0.6693442060948198,True,True
AAPL_hybrid_spy_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_0_10bps,0.7890412210488722,0.11467557093391045,0.1972320207214046,0.649777439294615,0.7912936903071365,0.42538686208837817,-0.2695794843567254,15,0.6666666666666666,0.6988130563798219,3.178041543026706,0.1053320644008831,0.18934633800737477,-0.06269648281210027,6.040094420442717,0.03052457851292223,-0.06169698256782241,0.06402571517472533,AAPL,allocation_test,hybrid_spy_regime,5,200,0.0,,False,0.01,-0.01,20,0,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5881798476654998,0.5812982353536277,0.40811679497166364,167.0,192.0,2.7995656617271334,0.08048961424332345,0.11115716789363406,0.6338298498678674,0.6693442060948198,True,True
AAPL_hybrid_spy_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_0_10bps,0.7890412210488722,0.11467557093391045,0.1972320207214046,0.649777439294615,0.7912936903071365,0.42538686208837817,-0.2695794843567254,15,0.6666666666666666,0.6988130563798219,3.178041543026706,0.1053320644008831,0.18934633800737477,-0.06269648281210027,6.040094420442717,0.03052457851292223,-0.06169698256782241,0.06402571517472533,AAPL,allocation_test,hybrid_spy_regime,5,200,0.0,,False,0.01,-0.01,10,0,10.0,1.3876883998144103,0.17637255350173286,0.726686796875903,-0.33360519953145074,0.5881798476654998,0.5812982353536277,0.40811679497166364,167.0,192.0,2.7995656617271334,0.08048961424332345,0.11115716789363406,0.6338298498678674,0.6693442060948198,True,True
